"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"CertDIVOC","CertDIVOC","","","",0,*,"","","","null {[]} {[]}
","Certificate - DIVOC Verifiable Credential Logical Model","Data elements for the DIVOC Core Data Set.

The official DIVOC documentation appears to be at <https://divoc.digit.org>. However, this does not include a full list of elements included in DIVOC certificates.

There is a JSON-LD context referenced in DIVOC certificate examples (`https://cowin.gov.in/credentials/vaccination/v1`), which would provide some element-level information, but this URL does not resolve. There is a copy of this JSON-LD context at <https://github.com/egovernments/DIVOC/blob/main/vaccination-context/vaccination-context.js>.

It was not possible to find any online documentation regarding DIVOC proof of testing. Information on this was provided by the DIVOC team via email.

Some element descriptions in this logical model provide details that are not in publicly available DIVOC documentation.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CertDIVOC.context","CertDIVOC.context","","","",1,*,"","","","string {[]} {[]}
","Context (JSON-LD) - should actually be `@context` but this name isn't supported by FHIR.","Context (JSON-LD) - should actually be `@context` but this name isn't supported by FHIR.","","","","","","","","","",,,,,"",,,,"CertDIVOC.context",1,*,"",""
"CertDIVOC.type","CertDIVOC.type","","","",1,*,"","","","string {[]} {[]}
","Type","JSON-LD Type","","","","","","","","","",,,,,"",,,,"CertDIVOC.type",1,*,"",""
"CertDIVOC.issuer","CertDIVOC.issuer","","","",1,1,"","","","string {[]} {[]}
","Issuer identifier","Issuer identifier URI. generally a DID","","","","","","","","","",,,,,"",,,,"CertDIVOC.issuer",1,1,"",""
"CertDIVOC.issuanceDate","CertDIVOC.issuanceDate","","","",1,1,"","","","dateTime {[]} {[]}
","issuanceDate","Date and time when a credential becomes valid","","","","","","","","","",,,,,"",,,,"CertDIVOC.issuanceDate",1,1,"",""
"CertDIVOC.nonTransferable","CertDIVOC.nonTransferable","","","",0,1,"","","","boolean {[]} {[]}
","Non Trasnferability","indicates that a verifiable credential must only be encapsulated into a verifiable presentation whose proof was issued by the credentialSubject","","","","","","","","","",,,,,"",,,,"CertDIVOC.nonTransferable",0,1,"",""
"CertDIVOC.credentialSubject","CertDIVOC.credentialSubject","","","",1,1,"","","","BackboneElement {[]} {[]}
","CredentialSubject","Contains claims about one or more objects (Patients)","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CertDIVOC.credentialSubject.id","CertDIVOC.credentialSubject.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"CertDIVOC.credentialSubject.extension","CertDIVOC.credentialSubject.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CertDIVOC.credentialSubject.modifierExtension","CertDIVOC.credentialSubject.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CertDIVOC.credentialSubject.type","CertDIVOC.credentialSubject.type","","","",1,*,"","","","string {[]} {[]}
","type","Type of credential. Generally 'Person'","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.type",1,*,"",""
"CertDIVOC.credentialSubject.uhid","CertDIVOC.credentialSubject.uhid","","","",0,1,"","","","string {[]} {[]}
","another id","another id","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.uhid",0,1,"",""
"CertDIVOC.credentialSubject.refId","CertDIVOC.credentialSubject.refId","","","",0,1,"","","","string {[]} {[]}
","reference id","reference id","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.refId",0,1,"",""
"CertDIVOC.credentialSubject.name","CertDIVOC.credentialSubject.name","","","",0,1,"","","","string {[]} {[]}
","A name associated with the patient","A name associated with the patient","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.name",0,1,"",""
"CertDIVOC.credentialSubject.gender","CertDIVOC.credentialSubject.gender","","","",0,1,"","","","string {[]} {[]}
","Gender (`Male` or `Female`; unknown if there are other options)","Gender (`Male` or `Female`; unknown if there are other options)","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.gender",0,1,"",""
"CertDIVOC.credentialSubject.sex","CertDIVOC.credentialSubject.sex","","","",0,1,"","","","string {[]} {[]}
","Sex (not used in examples; presumably `Male` or `Female`; unknown if there are other options)","Sex (not used in examples; presumably `Male` or `Female`; unknown if there are other options)","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.sex",0,1,"",""
"CertDIVOC.credentialSubject.age","CertDIVOC.credentialSubject.age","","","",0,1,"","","","string {[]} {[]}
","Age","Age","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.age",0,1,"",""
"CertDIVOC.credentialSubject.dob","CertDIVOC.credentialSubject.dob","","","",0,1,"","","","date {[]} {[]}
","The date of birth for the individual (V2 only)","The date of birth for the individual (V2 only)","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.dob",0,1,"",""
"CertDIVOC.credentialSubject.nationality","CertDIVOC.credentialSubject.nationality","","","",0,1,"","","","string {[]} {[]}
","Nationality","Nationality","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.nationality",0,1,"",""
"CertDIVOC.credentialSubject.address","CertDIVOC.credentialSubject.address","","","",0,1,"","","","BackboneElement {[]} {[]}
","Address","Address","","","","","","","","","",,,,,"",,,,"CertDIVOC.credentialSubject.address",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CertDIVOC.credentialSubject.address.id","CertDIVOC.credentialSubject.address.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
