Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.ddcc.json	69501	-	0	0	0	0	0	0	9	69	0	0	0	0	0	0	0	2	0	0	340	327	0	0	0	0	9	0	3
fsh-generated/resources/Bundle-DDCCTXSHEbundleexample1.json	7185	8	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	20	23	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DDCCTXSHEbundleexampleArabic.json	7219	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	23	21	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DDCCTXSHEbundleexampleChinese.json	7220	6	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	19	22	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DDCCTXSHEbundleexampleFrench.json	7203	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	20	16	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DDCCTXSHEbundleexampleRussian.json	7224	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	27	12	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DDCCTXSHEbundleexampleSpanish.json	7207	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	22	11	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-Example-Russian.json	7179	4	0	0	0	0	32	0	1	1511	0	0	0	0	0	0	0	1	0	0	37	22	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleArabic.json	7132	5	1	0	0	0	5	0	0	12	0	0	0	0	0	0	0	0	0	0	36	19	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleChinese.json	7139	4	0	0	0	0	5	0	0	11	0	0	0	0	0	0	0	0	0	0	33	19	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleEnglish.json	7131	4	0	0	0	0	6	0	1	10	0	0	0	0	0	0	0	0	0	0	35	19	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleFrench.json	7117	4	0	0	0	0	5	0	0	9	0	0	0	0	0	0	0	0	0	0	34	19	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleSpanish.json	7135	5	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0	47	19	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DDCCCompositionCategoryCodeSystem.json	582	3	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	16	4066	0	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-DDCCDevicePropertyCodeSystem.json	570	3	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	17	122	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DDCCExampleTestCodeSystem.json	469	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	134	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DDCCFolderDesignationTypeCodesystem.json	520	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	97	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DDCCICD11CodeSystem.json	5390	4	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	49	176	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DDCCQRFormatCodeSystem.json	625	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	22	104	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DDCCQRTypeCodeSystem.json	772	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	103	0	0	0	0	1	0	0
