WHO list of vaccinable conditions,ICD-11 code,ICD-11 URI,ICD-10 code ,ICD-9-CM code
Cervical cancer (Human papilloma virus),XM9QP0,http://id.who.int/icd/entity/1143858830,,V04.89
Cholera,XM29K4,http://id.who.int/icd/entity/1471383174 ,Y58.2,V03.0
Diphtheria,XM86V7, http://id.who.int/icd/entity/1008358017,Y58.5,V03.5
Hepatitis B ,XM9V38,http://id.who.int/icd/entity/1843933938 ,Y59.0,V05.3
Influenza,XM1LR5,http://id.who.int/icd/entity/751881015 ,Y59.0,V04.81
Japanese encephalitis,XM0RC1,http://id.who.int/icd/entity/1037171821 ,,V05.0
Measles,XM28X5,http://id.who.int/icd/entity/1165620955,Y59.0,V04.2
" - Measles, live attenuated",XM8L15,http://id.who.int/icd/entity/959348095 ,,
 - Diplovax,XM2KH7, http://id.who.int/icd/entity/915928557 ,,
Meningitis,,,,
 - Meningococcal vaccines,XM2WV4,http://id.who.int/icd/entity/1716231214,Y58.9,
 - Meningococcal conjugate (Strain C) vaccine,XM18Y8, http://id.who.int/icd/entity/1625813008,,
 - Meningovax (-AC) (-C),XM2280,http://id.who.int/icd/entity/1397512280,,
Mumps,XM1131,http://id.who.int/icd/entity/210635131,,V04.6
Pertussis,XM43M9,http://id.who.int/icd/entity/1326557479 ,Y58.6,V03.6
Pneumonia,,,,
 - Streptococcus pneumoniae [pneumococcus],,,,V03.82
Polio,XM0N50,http://id.who.int/icd/entity/1943937130,Y59.0,V04.0
  - Orimune,XM4KG4,http://id.who.int/icd/entity/1108310064 ,,
 - Vaccine sabin oral,XM1Y59,http://id.who.int/icd/entity/2146367699,,
Rabies,XM6T09,http://id.who.int/icd/entity/647091749,Y59.0,V04.5
Rotavirus,XM1CE0,http://id.who.int/icd/entity/1132895780,Y59.0,
Rubella,XM7PP1,http://id.who.int/icd/entity/164703371 ,Y59.0,V04.3
 - Meruvax,XM9PS9,http://id.who.int/icd/entity/382285729 ,,
Tetanus ,XM5L44,http://id.who.int/icd/entity/1063237844 ,Y58.4,V03.7
 - tetanus toxoid,XM29H5,http://id.who.int/icd/entity/918468355,,
" - tetanus toxoid, combinations with diphtheria toxoid",XM1G86,http://id.who.int/icd/entity/1734710686,,
Typhoid,XM8BU8 ,http://id.who.int/icd/entity/715198108,Y58.1,V03.1
