Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	8131	-	0	0	0	0	0	0	10	93	0	0	0	0	0	0	0	0	0	0	87	121	0	0	1	2	0	1
fsh-generated/resources/StructureDefinition-Markdown.json	1153	6	0	0	1	1	0	12	0	36	0	0	1	0	0	0	0	0	0	0	42	1172	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	4	1	0	0	0	0	69	0	18	0	0	0	0	0	0	0	2	0	0	208	1307	0	0	0	7	1	1
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	5	0	0	0	0	0	115	0	17	0	0	0	0	0	0	0	1	0	0	217	1280	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	4	0	0	0	0	0	83	0	22	0	0	0	0	0	0	0	2	0	0	175	563	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	5	0	0	0	0	0	77	0	20	0	0	0	0	0	0	0	1	0	0	147	577	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	9487	9	0	0	0	0	0	529	0	86	0	0	1	0	0	0	0	2	0	0	647	1878	0	0	0	18	0	2
fsh-generated/resources/StructureDefinition-SGLibrary.json	778	4	0	0	0	0	0	47	0	17	0	0	0	0	0	0	0	0	0	0	91	299	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6453	8	1	0	0	0	0	76	0	43	0	0	0	0	0	0	0	2	0	0	479	1394	0	0	0	18	1	1
fsh-generated/resources/StructureDefinition-SGMeasure.json	778	4	0	0	0	0	0	43	0	15	0	0	0	0	0	0	0	0	0	0	146	653	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-SGPlanDefinition.json	855	5	0	0	0	0	0	49	0	17	0	0	0	0	0	0	0	1	0	0	184	691	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-SGQuestionnaire.json	844	4	0	0	0	0	0	21	0	16	0	0	0	0	0	0	0	1	0	0	143	574	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-SGStructureDefinition.json	790	4	0	0	0	0	0	12	0	13	0	0	0	0	0	0	0	0	0	0	130	406	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-SGStructureMap.json	1045	4	0	0	0	0	0	22	0	15	0	0	1	0	0	0	0	1	0	0	155	681	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-SGValueSet.json	789	5	0	0	0	0	0	21	0	15	0	0	0	0	0	0	0	0	0	0	186	567	0	1	0	6	1	0
fsh-generated/resources/StructureDefinition-Sgcode.json	1409	5	1	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	45	98	0	0	0	2	0	1
input/profiles/StructureDefinition-SGGroupDefinition.json	1505	4	0	0	0	0	0	39	0	13	0	0	0	0	0	0	0	1	0	0	124	342	0	0	0	5	0	0
