"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"CertDCC","CertDCC","","","",0,*,"","","","","Certificate - EU DCC CBOR Web Token Logical Model","Data elements for the EU Digital COVID Certificate Core Data Set.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CertDCC.iss","CertDCC.iss","","","",0,1,"","","","string {[]} {[]}
","Issuer","Issuer","","","","","","","","","",,,,,"",,,,"CertDCC.iss",0,1,"",""
"CertDCC.sub","CertDCC.sub","","","",0,1,"","","","string {[]} {[]}
","Subject","Subject","","","","","","","","","",,,,,"",,,,"CertDCC.sub",0,1,"",""
"CertDCC.aud","CertDCC.aud","","","",0,1,"","","","string {[]} {[]}
","Audience","Audience","","","","","","","","","",,,,,"",,,,"CertDCC.aud",0,1,"",""
"CertDCC.exp","CertDCC.exp","","","",0,1,"","","","dateTime {[]} {[]}
","Expiration Date","Expiration Date","","","","","","","","","",,,,,"",,,,"CertDCC.exp",0,1,"",""
"CertDCC.nbf","CertDCC.nbf","","","",0,1,"","","","dateTime {[]} {[]}
","Not before Date","Not before Date","","","","","","","","","",,,,,"",,,,"CertDCC.nbf",0,1,"",""
"CertDCC.iat","CertDCC.iat","","","",0,1,"","","","dateTime {[]} {[]}
","Issued at Date","Issued at Date","","","","","","","","","",,,,,"",,,,"CertDCC.iat",0,1,"",""
"CertDCC.id","CertDCC.id","","","",0,1,"","","","string {[]} {[]}
","Identifier","Identifier","","","","","","","","","",,,,,"",,,,"CertDCC.id",0,1,"",""
"CertDCC.cert","CertDCC.cert","","","",0,1,"","","","BackboneElement {[]} {[]}
","HC1","HC1","","","","","","","","","",,,,,"",,,,"CertDCC.cert",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CertDCC.cert.id","CertDCC.cert.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"CertDCC.cert.extension","CertDCC.cert.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"CertDCC.cert.modifierExtension","CertDCC.cert.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"CertDCC.cert.ver","CertDCC.cert.ver","","","",0,1,"","","","string {[]} {[]}
","Schema version","Schema version","","","","","","","","","",,,,,"",,,,"CertDCC.cert.ver",0,1,"",""
"CertDCC.cert.nam","CertDCC.cert.nam","","","",0,1,"","","","BackboneElement {[]} {[]}
","PersonName","PersonName","","","","","","","","","",,,,,"",,,,"CertDCC.cert.nam",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CertDCC.cert.nam.id","CertDCC.cert.nam.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
