Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.ddcc.json	69501	-	0	0	0	0	0	0	5	13	0	0	0	0	0	0	0	1	0	0	286	184	0	0	0	0	8	0	3
fsh-generated/resources/Bundle-DDCCTXSHEbundleexample1.json	7185	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DDCCTXSHEbundleexampleArabic.json	7219	5	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DDCCTXSHEbundleexampleChinese.json	7220	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DDCCTXSHEbundleexampleFrench.json	7203	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DDCCTXSHEbundleexampleRussian.json	7224	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DDCCTXSHEbundleexampleSpanish.json	7207	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-Example-Russian.json	7179	3	0	0	0	0	2	0	0	889	0	0	0	0	0	0	0	0	0	0	32	21	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleArabic.json	7132	3	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	32	19	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleChinese.json	7139	3	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	34	16	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-ExampleEnglish.json	7131	3	0	0	0	0	2	0	1	7	0	0	0	0	0	0	0	0	0	0	31	17	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleFrench.json	7117	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	32	17	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-ExampleSpanish.json	7135	3	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	31	16	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DDCCCompositionCategoryCodeSystem.json	582	3	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	3342	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DDCCDevicePropertyCodeSystem.json	570	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	53	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DDCCExampleTestCodeSystem.json	469	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	51	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DDCCFolderDesignationTypeCodesystem.json	520	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	54	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DDCCICD11CodeSystem.json	5390	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	0	42	173	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DDCCQRFormatCodeSystem.json	625	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	49	0	0	0	0	0	0	0
