Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.ips-pilgrimage.json	12331	-	0	0	0	0	0	0	7	82	0	0	0	0	0	0	0	0	0	0	126	112	0	0	0	5	0	1
fsh-generated/resources/ActorDefinition-HCEMR.json	441	10	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	30	38	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-OCHIE.json	561	9	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	1	0	0	24	29	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-OCHW.json	482	8	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	25	27	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-Pilgrim.json	438	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	26	28	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-QRCard.json	470	8	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	25	28	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Scanner.json	440	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	27	30	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IPS.HAJJ.CONSENT.json	1738	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	33	5010	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-ConsentPostCounseling.json	1573	8	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	24	36	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-ConsentWallet.json	1546	15	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	24	31	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-GetKeys.json	1509	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	31	31	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-IPSManifest.json	1946	8	1	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	32	30	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-IPSView.json	1110	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	24	30	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-PutKeys.json	1284	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	26	31	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-SignIPS.json	1551	10	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	23	31	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-SignSHL.json	1395	13	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	24	30	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ConsentPeriod.json	1240	7	0	0	0	0	0	26	1	27	0	0	0	0	0	0	0	0	0	0	72	559	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ConsentVerifiedBy.json	1528	8	0	0	0	0	0	43	0	18	0	0	0	0	0	0	0	0	0	0	73	300	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-HajjConsent.json	3559	8	0	0	0	0	0	127	0	57	0	0	1	0	0	0	0	2	0	0	368	1021	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-HajjOrganization.json	656	8	1	0	0	0	0	57	0	26	0	0	0	0	0	0	0	0	0	0	176	369	0	0	0	4	0	0
fsh-generated/resources/ValueSet-IPS.HAJJ.CONSENT.json	958	7	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	45	10509	0	0	0	1	0	0
