"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SchemeInformation","SchemeInformation","","","",0,*,"","","","null {[]} {[]}
","Scheme Information","Logical Model for Information on the trusted list and its issuing scheme","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SchemeInformation.versionIdentifier","SchemeInformation.versionIdentifier","","","",1,1,"","","","integer {[]} {[]}
","TSL version identifier (clause 5.3.1)","TSL version identifier (clause 5.3.1)","","","","","","","","","",,,,,"",,,,"SchemeInformation.versionIdentifier",1,1,"",""
"SchemeInformation.sequenceNumber","SchemeInformation.sequenceNumber","","","",1,1,"","","","integer {[]} {[]}
","TSL sequence number (clause 5.3.2)","TSL sequence number (clause 5.3.2)","","","","","","","","","",,,,,"",,,,"SchemeInformation.sequenceNumber",1,1,"",""
"SchemeInformation.type","SchemeInformation.type","","","",1,1,"","","","uri {[]} {[]}
","TSL type (clause 5.3.3)","TSL type (clause 5.3.3)","","","","","","","","","",,,,,"",,,,"SchemeInformation.type",1,1,"",""
"SchemeInformation.operatorName","SchemeInformation.operatorName","","","",1,1,"","","","string {[]} {[]}
","Scheme operator name (clause 5.3.4)","Scheme operator name (clause 5.3.4)","","","","","","","","","",,,,,"",,,,"SchemeInformation.operatorName",1,1,"",""
"SchemeInformation.operatorAddress","SchemeInformation.operatorAddress","","","",1,*,"","","","BackboneElement {[]} {[]}
","Scheme operator address (clause 5.3.5)","Scheme operator address (clause 5.3.5)","","","","","","","","","",,,,,"",,,,"SchemeInformation.operatorAddress",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SchemeInformation.operatorAddress.id","SchemeInformation.operatorAddress.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SchemeInformation.operatorAddress.extension","SchemeInformation.operatorAddress.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SchemeInformation.operatorAddress.modifierExtension","SchemeInformation.operatorAddress.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SchemeInformation.operatorAddress.operatorPostalAddress","SchemeInformation.operatorAddress.operatorPostalAddress","","","",1,*,"","","","Address {[]} {[]}
","Scheme Operator Postal Address","Scheme Operator Postal Address","","","","","","","","","",,,,,"",,,,"SchemeInformation.operatorAddress.operatorPostalAddress",1,*,"",""
"SchemeInformation.operatorAddress.operatorElectronicAddress","SchemeInformation.operatorAddress.operatorElectronicAddress","","","",0,*,"","","","ContactPoint {[]} {[]}
","Scheme Operator Electronic Address","Scheme Operator Electronic Address","","","","","","","","","",,,,,"",,,,"SchemeInformation.operatorAddress.operatorElectronicAddress",0,*,"",""
"SchemeInformation.name","SchemeInformation.name","","","",1,1,"","","","string {[]} {[]}
","Scheme name (clause 5.3.6)","Scheme name (clause 5.3.6) CC:EN_name_value","","","","","","","","","",,,,,"",,,,"SchemeInformation.name",1,1,"",""
"SchemeInformation.informationURI","SchemeInformation.informationURI","","","",1,1,"","","","uri {[]} {[]}
","Scheme information URI (clause 5.3.7)","Scheme information URI (clause 5.3.7)","","","","","","","","","",,,,,"",,,,"SchemeInformation.informationURI",1,1,"",""
"SchemeInformation.statusDeterminiationApproach","SchemeInformation.statusDeterminiationApproach","","","",1,1,"","","","uri {[]} {[]}
","Status determination approach (clause 5.3.8)","Status determination approach (clause 5.3.8)","","","","","","","","","",,,,,"",,,,"SchemeInformation.statusDeterminiationApproach",1,1,"",""
"SchemeInformation.schemeType","SchemeInformation.schemeType","","","",1,1,"","","","uri {[]} {[]}
","Scheme type/community/rules (clause 5.3.9)","Scheme type/community/rules (clause 5.3.9)","","","","","","","","","",,,,,"",,,,"SchemeInformation.schemeType",1,1,"",""
"SchemeInformation.territory","SchemeInformation.territory","","","",1,1,"","","","string {[]} {[]}
","Scheme territory (clause 5.3.10)","Scheme territory (clause 5.3.10)","","","","","","","","","",,,,,"",,,,"SchemeInformation.territory",1,1,"",""
"SchemeInformation.policy","SchemeInformation.policy","","","",1,1,"","","","uri {[]} {[]}
","TSL policy/legal notice (clause 5.3.11)","TSL policy/legal notice (clause 5.3.11)","","","","","","","","","",,,,,"",,,,"SchemeInformation.policy",1,1,"",""
"SchemeInformation.historicalInformationPeriod","SchemeInformation.historicalInformationPeriod","","","",1,1,"","","","integer {[]} {[]}
","Historical information period (clause 5.3.12)","Historical information period (clause 5.3.12)","","","","","","","","","",,,,,"",,,,"SchemeInformation.historicalInformationPeriod",1,1,"",""
"SchemeInformation.otherTSL","SchemeInformation.otherTSL","","","",0,*,"","","","string {[]} {[]}
","Pointers to other TSLs (clause 5.3.13)","Pointers to other TSLs (clause 5.3.13)","","","","","","","","","",,,,,"",,,,"SchemeInformation.otherTSL",0,*,"",""
"SchemeInformation.issDateTime","SchemeInformation.issDateTime","","","",1,1,"","","","dateTime {[]} {[]}
","List issue date and time (clause 5.3.14)","List issue date and time (clause 5.3.14)","","","","","","","","","",,,,,"",,,,"SchemeInformation.issDateTime",1,1,"",""
"SchemeInformation.nextUpdate","SchemeInformation.nextUpdate","","","",1,1,"","","","dateTime {[]} {[]}
","Next update (clause 5.3.15)","Next update (clause 5.3.15)","","","","","","","","","",,,,,"",,,,"SchemeInformation.nextUpdate",1,1,"",""
"SchemeInformation.distributionPoints","SchemeInformation.distributionPoints","","","",0,*,"","","","uri {[]} {[]}
","Distribution points (clause 5.3.16)","Distribution points (clause 5.3.16)","","","","","","","","","",,,,,"",,,,"SchemeInformation.distributionPoints",0,*,"",""
