"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"COSEHeader","COSEHeader","COSEHeader","","","",0,*,"","","","null {[]} {[]}
","COSE Headers (DRAFT)","Data elements for COSE Headers https://www.iana.org/assignments/cose/cose.xhtml#header-parameters","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"COSEHeader","COSEHeader.1","COSEHeader.1","","","",0,1,"","","","string {[]} {[]}
","Encryption Algorithm","alg(1)","","","","","","","","","",,,,,"",,,,"COSEHeader.1",0,1,"",""
"COSEHeader","COSEHeader.4","COSEHeader.4","","","",0,1,"","","","string {[]} {[]}
","Key ID used to verify the signature of the certificate","keyid (4)","","","","","","","","","",,,,,"",,,,"COSEHeader.4",0,1,"",""
"CWT","CWT","CWT","","","",0,*,"","","","null {[]} {[]}
","CBOR Web Token (CWT) Claim","Logical Model for Data elements in CBOR Web Token (CWT) https://www.iana.org/assignments/cwt/cwt.xhtml","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CWT","CWT.header","CWT.header","","","",0,1,"","","","http://smart.who.int/trust/StructureDefinition/COSEHeader {[]} {[]}
","COSE Header","Header","","","","","","","","","",,,,,"",,,,"CWT.header",0,1,"",""
"CWT","CWT.payload","CWT.payload","","","",0,1,"","","","http://smart.who.int/trust/StructureDefinition/CWTPayload {[]} {[]}
","CWT Payload","Payload","","","","","","","","","",,,,,"",,,,"CWT.payload",0,1,"",""
"CWT","CWT.signature","CWT.signature","","","",0,1,"","","","string {[]} {[]}
","Signature","Signature","","","","","","","","","",,,,,"",,,,"CWT.signature",0,1,"",""
"CWTPayload","CWTPayload","CWTPayload","","","",0,*,"","","","null {[]} {[]}
","CBOR Web Token (CWT) Payload (Common)","Logical Model for CBOR Web Token (CWT) Payload Logical Modelin CWT Payload https://www.iana.org/assignments/cwt/cwt.xhtml ","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"CWTPayload","CWTPayload.1","CWTPayload.1","","","",0,1,"","","","Coding {[]} {[]}
","Issuer Code (iss)","Issuer","","","","","","","","","",,,,,"",,,,"CWTPayload.1",0,1,"",""
"CWTPayload","CWTPayload.4","CWTPayload.4","","","",0,1,"","","","dateTime {[]} {[]}
","Expiration Date Time(exp)","Expiration Time","","","","","","","","","",,,,,"",,,,"CWTPayload.4",0,1,"",""
"CWTPayload","CWTPayload.6","CWTPayload.6","","","",0,1,"","","","dateTime {[]} {[]}
","Issued At (iat)","Issued At","","","","","","","","","",,,,,"",,,,"CWTPayload.6",0,1,"",""
"CWTPayload","CWTPayload.-260","CWTPayload.-260","","","",0,1,"","","","http://smart.who.int/trust/StructureDefinition/HCert {[]} {[]}
","Health Certificate","HCert","","","","","","","","","",,,,,"",,,,"CWTPayload.-260",0,1,"",""
"HCert","HCert","HCert","","","",0,*,"","","","null {[]} {[]}
","Health Certificate","Logical Model for the HCERT","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HCert","HCert.1","HCert.1","","","",0,1,"","","","http://smart.who.int/ddcc/StructureDefinition/HCertDCC {[]} {[]}
","HCERT EU DCC","HCERT EU DCC","","","","","","","","","",,,,,"",,,,"HCert.1",0,1,"",""
